id,team_api_id,team_long_name,date,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression
1,9987,KRC Genk,2010-02-22 00:00:00,45,45,50,35,60,70,65
1,9987,KRC Genk,2011-02-22 00:00:00,66,52,65,66,51,48,47
1,9987,KRC Genk,2012-02-22 00:00:00,53,55,55,48,56,47,45
1,9987,KRC Genk,2013-09-20 00:00:00,58,38,67,48,56,47,45
1,9987,KRC Genk,2014-09-19 00:00:00,58,38,67,48,56,47,45
1,9987,KRC Genk,2015-09-10 00:00:00,58,38,30,69,56,36,57
2,9993,Beerschot AC,2010-02-22 00:00:00,35,35,45,40,50,70,70
2,9993,Beerschot AC,2011-02-22 00:00:00,47,37,54,64,67,33,34
2,9993,Beerschot AC,2012-02-22 00:00:00,55,55,47,46,49,45,46
2,9993,Beerschot AC,2013-09-20 00:00:00,47,39,38,64,49,45,46
3,10000,SV Zulte-Waregem,2010-02-22 00:00:00,65,60,60,40,50,70,60
3,10000,SV Zulte-Waregem,2011-02-22 00:00:00,52,52,52,48,53,46,48
3,10000,SV Zulte-Waregem,2012-02-22 00:00:00,54,51,47,52,50,44,55
3,10000,SV Zulte-Waregem,2013-09-20 00:00:00,54,51,47,52,32,44,58
3,10000,SV Zulte-Waregem,2014-09-19 00:00:00,54,51,47,52,32,44,58
3,10000,SV Zulte-Waregem,2015-09-10 00:00:00,54,51,47,52,32,44,58
4,9994,Sporting Lokeren,2010-02-22 00:00:00,60,60,50,40,50,65,65
4,9994,Sporting Lokeren,2011-02-22 00:00:00,66,53,48,46,52,48,58
4,9994,Sporting Lokeren,2012-02-22 00:00:00,67,52,51,50,50,45,52
4,9994,Sporting Lokeren,2013-09-20 00:00:00,67,52,31,50,50,45,52
4,9994,Sporting Lokeren,2014-09-19 00:00:00,62,52,42,50,62,45,52
4,9994,Sporting Lokeren,2015-09-10 00:00:00,62,52,42,50,62,45,52
5,9984,KSV Cercle Brugge,2010-02-22 00:00:00,45,35,70,45,55,65,60
5,9984,KSV Cercle Brugge,2011-02-22 00:00:00,50,50,70,65,65,60,50
5,9984,KSV Cercle Brugge,2012-02-22 00:00:00,68,54,55,68,42,59,47
5,9984,KSV Cercle Brugge,2013-09-20 00:00:00,53,40,55,68,42,59,47
5,9984,KSV Cercle Brugge,2014-09-19 00:00:00,53,43,52,58,42,59,47
5,9984,KSV Cercle Brugge,2015-09-10 00:00:00,53,43,52,58,42,59,47
6,8635,RSC Anderlecht,2010-02-22 00:00:00,50,35,70,50,60,70,50
6,8635,RSC Anderlecht,2011-02-22 00:00:00,50,52,70,50,60,70,50
6,8635,RSC Anderlecht,2012-02-22 00:00:00,52,41,53,57,47,45,43
6,8635,RSC Anderlecht,2013-09-20 00:00:00,52,41,68,67,47,60,43
6,8635,RSC Anderlecht,2014-09-19 00:00:00,52,51,60,53,47,60,50
6,8635,RSC Anderlecht,2015-09-10 00:00:00,52,51,60,53,47,53,50
7,9991,KAA Gent,2010-02-22 00:00:00,70,65,60,50,60,45,50
7,9991,KAA Gent,2011-02-22 00:00:00,55,55,54,74,56,61,39
7,9991,KAA Gent,2012-02-22 00:00:00,50,47,55,66,47,48,45
7,9991,KAA Gent,2013-09-20 00:00:00,50,37,28,66,34,50,53
7,9991,KAA Gent,2014-09-19 00:00:00,50,37,28,66,34,55,59
7,9991,KAA Gent,2015-09-10 00:00:00,50,37,42,66,34,49,54
